possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
Teste Unimed;Armazenamento Criptografado, Outras Medidas de Segurança;Teste Unimed;Dias;Teste Unimed;Sim;Cópia Eletrônica de Documentos;Teste Unimed;Verdadeiro;RATEIO CONTA VIVO;Ações por Canal Telefônico, Outras Finalidades;Teste Unimed;Teste Unimed;Art. 7°, V – execução de contrato ou de procedimentos preliminares;Teste Unimed;Sim;Sim;Teste Unimed;Teste Unimed;Sim;Teste Unimed;Sim;Acesso aos Dados, Anonimização de Dados;Teste Unimed....;1;Teste Unimed;Biometria;Sim;Teste Unimed;;Celular, Outros tipos de dados pessoais;"Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Internet, Acesso A Site;Verdadeiro;Sim;teste de justificativa ;Teste Unimed;Gerencia Administrativa ; acima de 10.000.000;ADMINISTRATIVA;;Sim;Teste Unimed;;Teste Unimed;Birô de Dados (Serasa, SPC, etc), Outra área ou atividade de tratamento;Agendas, Outras Localizações;Ações por Canal Telefônico, Outras Finalidades;abb989921b4efc10ff2f0f60f54bcbb4, Outras categorias
;Armazenamento Criptografado;Brasil;Anos;;Sim;Transferência de Arquivos;backup -;Verdadeiro;Backup gravações;Atividades Administrativas, Outras Finalidades;dropbox;backup;Art. 11, II, a – Cumprimento de Obrigação Legal;;Sim;Sim;;;Sim;REALIZAR BACKUP DAS GRAVAÇÕES CALLCENTER E RAMAIS ESPECIAIS;Não;;Dados de clientes;2;não há;Dado referente à Saúde/Dados Médicos;Não;;;Nome, CPF, Telefone ;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Filezilla, Dropbox;Falso;Não;DECRETO Nº 11.034, DE 5 DE ABRIL DE 2022 Art. 12, § 3º guardar a gravação por 90 dias ;;Segurança da Informação;de  0 a 1.000;PRESIDENTE;;Não sei;central de atendimento e tecnologia da informação;;;Ligação;Pastas e Documentos na Nuvem;Atividades Administrativas, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Outras categorias
;Não há;Brasil;Meses;admin;;;teste2;Verdadeiro;Backup gravações;Atividades Jurídicas;;;;;Não;Não;;;Não;backup de gravações telefonicas;Não;;;6;não ha;Dado referente à Saúde/Dados Médicos;Não;;;CPF;;Filezilla, Dropbox;Falso;Não;;;Segurança da Informação;de  0 a 1.000;PRESIDENTE;;Não;;;;Ligação;Nuvem;Cumprimento de Obrigação Legal ou Regulatória;Dados de Clientes
;Anonimização;Brasil;Dias;;;;Teste;Verdadeiro;Backup gravações;Ações por Canal Telefônico;;;;;Não;Não;;;Não;Backup;Não;;;1;Teste;Dado referente à Saúde/Dados Médicos;Não;;;CPF;;Dropbox;Falso;Não;;;Segurança da Informação;de  0 a 1.000;PRESIDENTE;;Não;;;;Ligação;Nuvem;Ações por Canal Telefônico;Dados de Clientes
Existe a opção de desativar o usuário na plataforma GIU;Controle de Acesso;Brasil;;Permite que o usuário cadastrado realize a pesquisa de Transações, Protocolos, Sispac, Abertura de Chamados;;;GIU;Verdadeiro;GIU - Gestão Institucional Unimed;Análise e Pesquisa;;;;;Não;Não;Gênero do usuário e, data de nascimento e telefone;;Não;A solicitação do Login e senha para a esta ferramenta  é feita pelo GLPI, onde é disponibilizado pelo usuário seu e-mail, CPF, data de nascimento, telefone, gênero do usuário . A plataforma GIU  foi criada para gerir o acessos das ferramentas institucionais do sistema Unimed com alto padrão de segurança.;Não;Correção de Dados Incompletos, Inexatos ou Desatualizados;;Indeterminado;;;Sim;contato telefônico, e-mail e GLPI;;CPF, Nome, E-mail, Outros tipos de dados pessoais;;Glpi, Giu;Falso;Não;;;Tecnologia da Informação;de  0 a 1.000;PRESIDENTE;;Sim;;;;E-mail, Ligação;Site;Outras Finalidades;Dados de colaboradores
;Controle de Acesso;BRASIL;;;;;MUDANÇA RAZÃO SOCIAL EMPRESA CONTRATANTE;Verdadeiro;ALTERAÇÃO DE RAZÃO SOCIAL DE EMPRESA CONTRATANTE;Atividades Administrativas, Documentação do Cliente, Gerenciamento do relacionamento com o cliente;;;;;Sim;Não;FILIAÇAO, ENDEREÇO E ESTADO CIVIL;;Não;RECEPCIONADO ATRAVES DA CANTRATANTE O PEDIDO DE ALTERAÇÃO DA RAZÃO SOCIAL MEDIANTE A APRESENTAÇÃO DO CARTÃO DE CNPJ, CONTRATO SOCIAL OU OUTRO DOCUMENTO QUE COMPROVE A ALTERAÇÃO. ENCAMINHADO PARA O SETOR DE CADASTRO REALIZAR A ALTERAÇÃO EM SISTEMA E UMA COPIA É IMPRESSA PARA SER ANEXADA A PASTA DA EMPRESA CONTRATANTE SOLICITANTE.;Não;;;Indeterminado;;;Não;;;CPF, Nome, RG, Telefone , E-mail, Data de aniversário/nascimento, Outros tipos de dados pessoais;;E-Mail, Pdf Creator;Falso;Não;;PASTA DA EMPRESA CONRATANTE QUE REQUISITOU A ALTERAÇÃO;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;SETOR DE CADASTRO;;;E-mail;E-mail, Outras Localizações;Atividades Administrativas, Gerenciamento do relacionamento com o cliente, Documentação do Cliente;Dados de Clientes
;Controle de Acesso;BRASIL;Anos;;;;ATENDIMENTO / RECEPÇÃO;Verdadeiro;ATENDIMENTO AO CLIENTE;Atividades Administrativas, Ativação de Clientes;;;;;Sim;Sim;ENDEREÇO;FICHA CADASTRAL;Não;Atendimento presencial, atendimento ao telefone, atendimento via whatsapp. Suporte para agendamento e informações para autorização.;Não;Cancelamento do Tratamento, Correção de Dados Incompletos, Inexatos ou Desatualizados, Confirmação da Existência de Tratamento, Portabilidade dos Dados;;5;ARQUIVAMENTO DOS DADOS PESSOAIS.;;Sim;TELEFÔNICO / E-MAIL;;Celular, Data de aniversário/nascimento, E-mail, Nome, Telefone , Outros tipos de dados pessoais;;Acesso A Internet, Presencialmente, Telefone, Windows, Whatsapp, Sistema Único   , Acesso A Site, Caixa De Sugestão, Planilhas, Previva, Adobe Reader, MV SOUL;Falso;Não;;;CAMU;de  0 a 1.000;VICE-PRESIDENTE;;Não;SETOR DE AUTORIZAÇÃO;;;Sistemas MV ou UNICOO, Documentos de Clientes, que não sejam contratos, E-mail;Agendas, Cadernos, Computador, E-mail, Pastas de Rede Compartilhada, Pastas e Documentos no E-mail, Planilhas, Sistemas/ Aplicativos de Terceiros;Ações por Canal Telefônico, Arquivo Pessoal, Ativação de Clientes, Documentação do Cliente, Gerenciamento do relacionamento com o cliente, Atividades Administrativas;Dados de Clientes, Dados de colaboradores, Dados de cooperados, Dados de crianças
;Controle de Acesso;BRASIL;;;;;COLETA DE DADOS (PESSOAIS E DA EMPRESA) PARA AQUISIÇÃO DE CONTRATO EMPRESARIAL;Verdadeiro;COLETA DE DADOS PESSOAIS E DA EMPRESA PARA PREENCHIMENTO DA PROPOSTA DE ADMISSÃO DA EMPRESA CONTRATANTE DE PLANOS COLETIVOS EMPRESARIAIS, COM POSTERIOR REGISTRO , CONTROLE E ENVIO PARA SETORES INTERNOS DA EMPRESA.;Atividades Administrativas, Documentação do Cliente;;;;;Sim;Não;ENDEREÇO;CONTRATO SOCIAL, CERTIFICADO DE MICRO EMPREENDEDOR;Não;COLETA DE DADOS PESSOAIS DO SOCIO QUE SERÁ O RESPONSÁVEL CONTRATUAL, BEM COMO DO RESPONSÁVEL PELA MOVIMENTAÇÃO CADASTRAL NA UNIMED NI. NO CASO DA DOCUMENTAÇÃO DA EMPRESA, OS DADOS SÃO O CERTIFICADO DE MICRO EMPRESARIO, QUE CONTEM O CPF OU O CONTRATO SOCIAL QUE CONTEM DIVERSOS DADOS PESSOAIS;Não;;;Indeterminado;;;Não;;;CPF, Nome, RG, Telefone , E-mail, Data de aniversário/nascimento, Outros tipos de dados pessoais;;E-Mail;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;CADASTRO;;;Via física, Documentos de Clientes, que não sejam contratos, E-mail, Outras fontes de Dados;Computador, E-mail;Atividades Administrativas;Dados de Clientes
;Armazenamento Criptografado;BRASIL;Anos;;;Transferência de Arquivos;ATENDIMENTO AO CLIENTE;Verdadeiro;ATENDIMENTO;Atividades Administrativas;LABORATORIO DIAGNOSTICOS DO BRASIL;;;;Sim;Não;;;Sim;Cliente chega, recebe uma senha de acordo com sua necessidade(Exame, Resultado ou Orçamento), é chamado através do painel senhas, atendido no guichê pela recepcionista. Solicitamos carteira da operadora, identidade, cpf e pedido médico datado, assinado e carimbado pelo médico solicitante. Em seguida pedimos informações como: Endereço, telefone, e-mail, nome completo.... Caso o paciente seja particular, é recebido o pagamento em dinheiro ou cartão. Paciente de operadora de saúde, assina guia. Após o atendimento, paciente retorna a recepção e aguarda ser chamado para coletar amostra biológica.;Não;Cancelamento do Tratamento, Oposição ao Tratamento;;15;ESTAMOS CONFECCIONANDO PROCEDIMENTOS OPERACIONAIS PADRAO;;Sim;TELEFONES E E-MAIL;;CPF, Data de aniversário/nascimento, E-mail, Nome, RG, Telefone , Celular;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";MV SOUL, NTISS;Falso;Não;;;Laboratório Cuidar Bem;de  0 a 1.000;PRESIDENTE;;Não;FATURAMENTO, TRAIGEM E COLETA;;;Via física;Computador, E-mail, Planilhas;Documentação do Cliente;Dados de Clientes, Dados de cooperados, Dados de prestadores de serviços - pessoa física
;Backup ou Cópia de Segurança;BRASIL;Anos;;;Transferência de Arquivos;FATURAMENTO DE GUIAS;Verdadeiro;FATURAMENTO;Outras Finalidades;Unimed cooperativa Medica de Nova Iguaçu;Controlar os valores recebidos;;;Sim;Não;Carteira da operadora de Saúde;;Sim;Consiste em faturar(cobrar) todos os exames realizados no Laboratório, através das guias entregues pelos clientes e seu pedidos médicos.;Não;;;15;Estamos confeccionando Procedimento Operacional Padrão;;Não;;;Nome, Outros tipos de dados pessoais;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";DB, NTISS, MV SOUL, Voxis;Falso;Não;;Arquivo de papel;Laboratório Cuidar Bem;de  0 a 1.000;PRESIDENTE;;Não;Financeiro;;;Documentos de Clientes, que não sejam contratos;Computador, E-mail, Outras Localizações;Atividades Administrativas;Dados de Clientes
